Date,Foreign_net,Trust_net,Dealer_net
2015-09-24,6650634.0,545000.0,-1343000.0
2015-09-25,654115.0,202000.0,81000.0
2015-09-30,19361953.0,1124000.0,-1130999.0
2015-10-01,18965529.0,295000.0,-565000.0
2015-10-02,-714541.0,216000.0,271000.0
2015-10-05,-1600911.0,-426623.0,31000.0
2015-10-06,2733120.0,802000.0,19000.0
2015-10-07,20708874.0,200000.0,-404000.0
2015-10-08,13849609.0,420000.0,2000.0
2015-10-12,10521255.0,1313000.0,500000.0
2015-10-13,7894687.0,76000.0,898000.0
2015-10-14,-5158316.0,-190804.0,383000.0
2015-10-15,23068109.0,756000.0,795000.0
2015-10-16,-2340655.0,309000.0,804000.0
2015-10-19,8561947.0,895000.0,-223000.0
2015-10-20,14142843.0,646000.0,-378000.0
2015-10-21,8801600.0,-32000.0,-174000.0
2015-10-22,2677049.0,190000.0,-337382.0
2015-10-23,17978104.0,-142000.0,-437000.0
2015-10-26,9628908.0,45000.0,-563000.0
2015-10-27,5988969.0,9000.0,-32000.0
2015-10-28,-2310264.0,74000.0,738000.0
2015-10-29,-2307867.0,121000.0,198000.0
2015-10-30,45080.0,126000.0,245000.0
2015-11-02,4818375.0,39000.0,407000.0
2015-11-03,19180586.0,359000.0,-624000.0
2015-11-04,50801919.0,861000.0,-285000.0
2015-11-05,5290742.0,113000.0,372000.0
2015-11-06,-7601713.0,-132000.0,387000.0
2015-11-09,8199189.0,364000.0,-657000.0
2015-11-10,-7657255.0,100000.0,489000.0
2015-11-11,-9237691.0,406000.0,73000.0
2015-11-12,756492.0,14000.0,-237000.0
2015-11-13,-7385236.0,76000.0,55000.0
2015-11-16,-12236487.0,-166000.0,615000.0
2015-11-17,4527437.0,348000.0,-721000.0
2015-11-18,-5649005.0,140000.0,275000.0
2015-11-19,6962397.0,-87000.0,-243801.0
2015-11-20,6525664.0,29000.0,-419000.0
2015-11-23,3468549.0,-95000.0,-148199.0
2015-11-24,899486.0,-90000.0,-378000.0
2015-11-25,3043548.0,218000.0,-13996.0
2015-11-26,10315412.0,-373000.0,147000.0
2015-11-27,-7574734.0,-380000.0,142996.0
2015-11-30,-21143405.0,103000.0,1064000.0
2015-12-01,16980237.0,-107000.0,-173000.0
2015-12-02,7522055.0,-362000.0,-293000.0
2015-12-03,1429008.0,-378000.0,274000.0
2015-12-04,-10256714.0,-141000.0,748000.0
2015-12-07,16148666.0,1217000.0,-393000.0
2015-12-08,-6039699.0,924000.0,137000.0
2015-12-09,-8202542.0,-58000.0,207500.0
2015-12-10,-10296950.0,256000.0,641000.0
2015-12-11,-7059655.0,474000.0,-326500.0
2015-12-14,-1363731.0,618603.0,-26000.0
2015-12-15,-1833551.0,122000.0,2182.0
2015-12-16,39197223.0,-371000.0,-1233000.0
2015-12-17,16088561.0,-102000.0,-134000.0
2015-12-18,5523849.0,76000.0,340818.0
2015-12-21,-4219663.0,51000.0,1685000.0
2015-12-22,2303926.0,-108000.0,-154000.0
2015-12-23,3083181.0,-39000.0,-186004.0
2015-12-24,4441882.0,-242000.0,-370000.0
2015-12-25,2844000.0,-23000.0,-48000.0
2015-12-28,4191000.0,191000.0,245000.0
2015-12-29,-932674.0,-106000.0,898000.0
2015-12-30,509076.0,72000.0,83995.0
2015-12-31,1405235.0,946000.0,-34991.0
2016-01-04,-20539366.0,406000.0,1657000.0
2016-01-05,-5964733.0,-320000.0,1082000.0
2016-01-06,-16091280.0,-555000.0,43000.0
2016-01-07,-17956013.0,-846284.0,2059000.0
2016-01-08,-980009.0,-119000.0,-198000.0
2016-01-11,-3258447.0,-218000.0,-1519000.0
2016-01-12,-7471305.0,47000.0,-390000.0
2016-01-13,6601776.0,-437000.0,-1831000.0
2016-01-14,-4135876.0,-200000.0,-778000.0
2016-01-15,24789257.0,1797000.0,-1612000.0
2016-01-18,-176830.0,1968000.0,930000.0
2016-01-19,383174.0,129000.0,258000.0
2016-01-20,-4052974.0,175000.0,-912000.0
2016-01-21,481458.0,26000.0,-1554000.0
2016-01-22,10551282.0,307000.0,-1709000.0
2016-01-25,7151923.0,-614000.0,224160.0
2016-01-26,-2592917.0,741000.0,269627.0
2016-01-27,4229579.0,207000.0,-1240000.0
2016-01-28,10733354.0,-508000.0,428151.0
2016-01-29,19855765.0,-276000.0,596004.0
2016-01-30,4234000.0,33000.0,1438000.0
2016-02-01,27192795.0,29000.0,-768000.0
2016-02-02,2436729.0,36000.0,1185058.0
2016-02-03,33448679.0,13000.0,-1411000.0
2016-02-05,-5003302.0,-559000.0,149000.0
2016-02-15,974654.0,118440.0,448000.0
2016-02-16,17004882.0,-192000.0,616500.0
2016-02-17,14081010.0,-6000.0,1802500.0
2016-02-18,35431018.0,86000.0,-595000.0
2016-02-19,10747756.0,-21000.0,841000.0
2016-02-22,14701397.0,-15000.0,-280000.0
2016-02-23,1794328.0,-60000.0,462000.0
2016-02-24,1154381.0,-96000.0,83000.0
2016-02-25,14593207.0,29000.0,-644000.0
2016-02-26,5514324.0,-398000.0,2541000.0
2016-03-01,8436253.0,161000.0,-320000.0
2016-03-02,14370787.0,789000.0,7000.0
2016-03-03,16358602.0,-64000.0,-1118000.0
2016-03-04,-264294.0,-401000.0,1405000.0
2016-03-07,-22664.0,94000.0,141000.0
2016-03-08,6524400.0,-141000.0,889000.0
2016-03-09,12206939.0,-369000.0,-625000.0
2016-03-10,14100540.0,13000.0,-1327000.0
2016-03-11,15091884.0,169000.0,-424652.0
2016-03-14,18570792.0,-375000.0,100000.0
2016-03-15,7167468.0,-386000.0,440000.0
2016-03-16,13672058.0,-186000.0,285000.0
2016-03-17,30790570.0,-380000.0,-2228000.0
2016-03-18,26230693.0,-114000.0,-539000.0
2016-03-21,12601553.0,-256000.0,313000.0
2016-03-22,4413704.0,-93000.0,770000.0
2016-03-23,10884002.0,-369000.0,-907000.0
2016-03-24,5502127.0,-598000.0,986000.0
